#group,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,boolean,long,string,long,,
#default,_result,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,Table,Tag1,_measurement,action,alert,condition,consecutive,delay,rule_id,synced,,
,,0,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:29Z,AssetAlertRules,Asset,ConfigData,Add lubricant oil to maintain Brix above 2%,"Low Emulsion Brix value, below LCL",emulsion_brix<1.7&speed_m_s>3,FALSE,0,f096e432-e2b9-4c51-87da-a64b744b5747,1,,
,,0,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:30Z,AssetAlertRules,Asset,ConfigData,"Reduce the Pneumatic pressure at dancer, value between 3 to 4 bar","High Dancer pressure, above UCL",dancer_pressure>5&speed_m_s>3,FALSE,0,09d4e8a6-75a1-41ba-8eb6-35a89151bad4,1,,
,,0,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:31Z,AssetAlertRules,Asset,ConfigData,Stop machine and check  & resolve fan failure,Motor cooling fan not running,motor_cooling_fan_rpm<100&speed_m_s>5,FALSE,0,aa1557ec-68de-4bf9-873a-36f9e42f84f1,1,,
,,0,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:32Z,AssetAlertRules,Asset,ConfigData,Increase speed of machine to target speed 15m/s,Machine running at slow speed,sum_of_slowspeed>10,FALSE,0,9476a195-22c7-481f-ab8d-37dfbd22adb6,1,,
,,0,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:33Z,AssetAlertRules,Asset,ConfigData,Turn off machine if No production,Machine is idle for 45min,sum_of_downtime>=15,TRUE,45,e34cdea9-a6ae-412f-a87c-ba1c2291ca48,1,,
,,,,,,,,,,,,,,,,,
#group,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,long,,,,,,
#default,_result,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,Table,Tag1,_measurement,asset_id,assetattribute_id,synced,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:20Z,AssetAttributeMapping,Asset,ConfigData,acd8c410-2cb4-48a7-a032-0f4a2f4a85f6,0f0ec863-7785-4fe4-a433-e5b685be8bc3,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:21Z,AssetAttributeMapping,Asset,ConfigData,acd8c410-2cb4-48a7-a032-0f4a2f4a85f6,94b726d2-ec35-41e9-91a8-1226e317642d,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:22Z,AssetAttributeMapping,Asset,ConfigData,acd8c410-2cb4-48a7-a032-0f4a2f4a85f6,2439bf89-4f0b-4dc5-bbe1-6ef7290240cf,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:23Z,AssetAttributeMapping,Asset,ConfigData,acd8c410-2cb4-48a7-a032-0f4a2f4a85f6,175fac4e-232d-4ae6-b277-7d122a6f4056,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:24Z,AssetAttributeMapping,Asset,ConfigData,acd8c410-2cb4-48a7-a032-0f4a2f4a85f6,80f6a59b-c1b5-41bb-8c40-403dab92c5b8,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:25Z,AssetAttributeMapping,Asset,ConfigData,acd8c410-2cb4-48a7-a032-0f4a2f4a85f6,d7a3fb8d-bc64-43f3-9ca3-a78ad8000d0c,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:26Z,AssetAttributeMapping,Asset,ConfigData,acd8c410-2cb4-48a7-a032-0f4a2f4a85f6,7f389438-1322-442c-8e9b-99d70bf9cb04,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:27Z,AssetAttributeMapping,Asset,ConfigData,acd8c410-2cb4-48a7-a032-0f4a2f4a85f6,7b3398c0-bbff-41e8-8601-9186e326cb73,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:28Z,AssetAttributeMapping,Asset,ConfigData,acd8c410-2cb4-48a7-a032-0f4a2f4a85f6,6bdcfb85-0170-4ff5-b315-1120fd5bb963,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:29Z,AssetAttributeMapping,Asset,ConfigData,acd8c410-2cb4-48a7-a032-0f4a2f4a85f6,4325dce2-57e0-48af-8ca9-10658b48ae12,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:30Z,AssetAttributeMapping,Asset,ConfigData,acd8c410-2cb4-48a7-a032-0f4a2f4a85f6,4e914241-af7a-456a-975a-ba24a23d55d7,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:31Z,AssetAttributeMapping,Asset,ConfigData,7bae1e8c-dba2-423f-8e74-e63cb40cdc3b,0f0ec863-7785-4fe4-a433-e5b685be8bc3,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:32Z,AssetAttributeMapping,Asset,ConfigData,7bae1e8c-dba2-423f-8e74-e63cb40cdc3b,94b726d2-ec35-41e9-91a8-1226e317642d,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:33Z,AssetAttributeMapping,Asset,ConfigData,7bae1e8c-dba2-423f-8e74-e63cb40cdc3b,2439bf89-4f0b-4dc5-bbe1-6ef7290240cf,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:34Z,AssetAttributeMapping,Asset,ConfigData,7bae1e8c-dba2-423f-8e74-e63cb40cdc3b,175fac4e-232d-4ae6-b277-7d122a6f4056,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:35Z,AssetAttributeMapping,Asset,ConfigData,7bae1e8c-dba2-423f-8e74-e63cb40cdc3b,80f6a59b-c1b5-41bb-8c40-403dab92c5b8,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:36Z,AssetAttributeMapping,Asset,ConfigData,7bae1e8c-dba2-423f-8e74-e63cb40cdc3b,d7a3fb8d-bc64-43f3-9ca3-a78ad8000d0c,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:37Z,AssetAttributeMapping,Asset,ConfigData,7bae1e8c-dba2-423f-8e74-e63cb40cdc3b,7f389438-1322-442c-8e9b-99d70bf9cb04,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:38Z,AssetAttributeMapping,Asset,ConfigData,7bae1e8c-dba2-423f-8e74-e63cb40cdc3b,7b3398c0-bbff-41e8-8601-9186e326cb73,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:39Z,AssetAttributeMapping,Asset,ConfigData,7bae1e8c-dba2-423f-8e74-e63cb40cdc3b,6bdcfb85-0170-4ff5-b315-1120fd5bb963,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:40Z,AssetAttributeMapping,Asset,ConfigData,7bae1e8c-dba2-423f-8e74-e63cb40cdc3b,4325dce2-57e0-48af-8ca9-10658b48ae12,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:41Z,AssetAttributeMapping,Asset,ConfigData,7bae1e8c-dba2-423f-8e74-e63cb40cdc3b,4e914241-af7a-456a-975a-ba24a23d55d7,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:42Z,AssetAttributeMapping,Asset,ConfigData,da390b8a-29da-40ad-9498-f9dce25902d9,0f0ec863-7785-4fe4-a433-e5b685be8bc3,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:43Z,AssetAttributeMapping,Asset,ConfigData,da390b8a-29da-40ad-9498-f9dce25902d9,94b726d2-ec35-41e9-91a8-1226e317642d,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:44Z,AssetAttributeMapping,Asset,ConfigData,da390b8a-29da-40ad-9498-f9dce25902d9,2439bf89-4f0b-4dc5-bbe1-6ef7290240cf,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:45Z,AssetAttributeMapping,Asset,ConfigData,da390b8a-29da-40ad-9498-f9dce25902d9,175fac4e-232d-4ae6-b277-7d122a6f4056,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:46Z,AssetAttributeMapping,Asset,ConfigData,da390b8a-29da-40ad-9498-f9dce25902d9,80f6a59b-c1b5-41bb-8c40-403dab92c5b8,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:47Z,AssetAttributeMapping,Asset,ConfigData,da390b8a-29da-40ad-9498-f9dce25902d9,d7a3fb8d-bc64-43f3-9ca3-a78ad8000d0c,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:48Z,AssetAttributeMapping,Asset,ConfigData,da390b8a-29da-40ad-9498-f9dce25902d9,7f389438-1322-442c-8e9b-99d70bf9cb04,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:49Z,AssetAttributeMapping,Asset,ConfigData,da390b8a-29da-40ad-9498-f9dce25902d9,7b3398c0-bbff-41e8-8601-9186e326cb73,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:50Z,AssetAttributeMapping,Asset,ConfigData,da390b8a-29da-40ad-9498-f9dce25902d9,6bdcfb85-0170-4ff5-b315-1120fd5bb963,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:51Z,AssetAttributeMapping,Asset,ConfigData,da390b8a-29da-40ad-9498-f9dce25902d9,4325dce2-57e0-48af-8ca9-10658b48ae12,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:52Z,AssetAttributeMapping,Asset,ConfigData,da390b8a-29da-40ad-9498-f9dce25902d9,4e914241-af7a-456a-975a-ba24a23d55d7,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:53Z,AssetAttributeMapping,Asset,ConfigData,b5169fb3-4ae3-4c6e-9d75-b91210ce1851,0f0ec863-7785-4fe4-a433-e5b685be8bc3,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:54Z,AssetAttributeMapping,Asset,ConfigData,b5169fb3-4ae3-4c6e-9d75-b91210ce1851,94b726d2-ec35-41e9-91a8-1226e317642d,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:55Z,AssetAttributeMapping,Asset,ConfigData,b5169fb3-4ae3-4c6e-9d75-b91210ce1851,2439bf89-4f0b-4dc5-bbe1-6ef7290240cf,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:56Z,AssetAttributeMapping,Asset,ConfigData,b5169fb3-4ae3-4c6e-9d75-b91210ce1851,175fac4e-232d-4ae6-b277-7d122a6f4056,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:57Z,AssetAttributeMapping,Asset,ConfigData,b5169fb3-4ae3-4c6e-9d75-b91210ce1851,80f6a59b-c1b5-41bb-8c40-403dab92c5b8,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:58Z,AssetAttributeMapping,Asset,ConfigData,b5169fb3-4ae3-4c6e-9d75-b91210ce1851,d7a3fb8d-bc64-43f3-9ca3-a78ad8000d0c,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:59Z,AssetAttributeMapping,Asset,ConfigData,b5169fb3-4ae3-4c6e-9d75-b91210ce1851,7f389438-1322-442c-8e9b-99d70bf9cb04,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:00Z,AssetAttributeMapping,Asset,ConfigData,b5169fb3-4ae3-4c6e-9d75-b91210ce1851,7b3398c0-bbff-41e8-8601-9186e326cb73,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:01Z,AssetAttributeMapping,Asset,ConfigData,b5169fb3-4ae3-4c6e-9d75-b91210ce1851,6bdcfb85-0170-4ff5-b315-1120fd5bb963,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:02Z,AssetAttributeMapping,Asset,ConfigData,b5169fb3-4ae3-4c6e-9d75-b91210ce1851,4325dce2-57e0-48af-8ca9-10658b48ae12,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:03Z,AssetAttributeMapping,Asset,ConfigData,b5169fb3-4ae3-4c6e-9d75-b91210ce1851,4e914241-af7a-456a-975a-ba24a23d55d7,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:04Z,AssetAttributeMapping,Asset,ConfigData,c6080c69-cda4-4889-8e31-56ab01579245,0f0ec863-7785-4fe4-a433-e5b685be8bc3,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:05Z,AssetAttributeMapping,Asset,ConfigData,c6080c69-cda4-4889-8e31-56ab01579245,94b726d2-ec35-41e9-91a8-1226e317642d,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:06Z,AssetAttributeMapping,Asset,ConfigData,c6080c69-cda4-4889-8e31-56ab01579245,2439bf89-4f0b-4dc5-bbe1-6ef7290240cf,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:07Z,AssetAttributeMapping,Asset,ConfigData,c6080c69-cda4-4889-8e31-56ab01579245,175fac4e-232d-4ae6-b277-7d122a6f4056,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:08Z,AssetAttributeMapping,Asset,ConfigData,c6080c69-cda4-4889-8e31-56ab01579245,80f6a59b-c1b5-41bb-8c40-403dab92c5b8,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:09Z,AssetAttributeMapping,Asset,ConfigData,c6080c69-cda4-4889-8e31-56ab01579245,d7a3fb8d-bc64-43f3-9ca3-a78ad8000d0c,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:10Z,AssetAttributeMapping,Asset,ConfigData,c6080c69-cda4-4889-8e31-56ab01579245,7f389438-1322-442c-8e9b-99d70bf9cb04,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:11Z,AssetAttributeMapping,Asset,ConfigData,c6080c69-cda4-4889-8e31-56ab01579245,7b3398c0-bbff-41e8-8601-9186e326cb73,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:12Z,AssetAttributeMapping,Asset,ConfigData,c6080c69-cda4-4889-8e31-56ab01579245,6bdcfb85-0170-4ff5-b315-1120fd5bb963,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:13Z,AssetAttributeMapping,Asset,ConfigData,c6080c69-cda4-4889-8e31-56ab01579245,4325dce2-57e0-48af-8ca9-10658b48ae12,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:14Z,AssetAttributeMapping,Asset,ConfigData,c6080c69-cda4-4889-8e31-56ab01579245,4e914241-af7a-456a-975a-ba24a23d55d7,1,,,,,,
,,,,,,,,,,,,,,,,,
#group,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,long,,,,,,
#default,_result,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,Table,Tag1,_measurement,assetattribute_id,attribute_name,synced,,,,,,
,,2,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:09Z,AssetAttributes,Asset,ConfigData,0f0ec863-7785-4fe4-a433-e5b685be8bc3,shift,1,,,,,,
,,2,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:10Z,AssetAttributes,Asset,ConfigData,94b726d2-ec35-41e9-91a8-1226e317642d,operator,1,,,,,,
,,2,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:11Z,AssetAttributes,Asset,ConfigData,2439bf89-4f0b-4dc5-bbe1-6ef7290240cf,production_kg,1,,,,,,
,,2,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:12Z,AssetAttributes,Asset,ConfigData,175fac4e-232d-4ae6-b277-7d122a6f4056,emulsion_brix,1,,,,,,
,,2,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:13Z,AssetAttributes,Asset,ConfigData,80f6a59b-c1b5-41bb-8c40-403dab92c5b8,sum_of_runtime,1,,,,,,
,,2,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:14Z,AssetAttributes,Asset,ConfigData,d7a3fb8d-bc64-43f3-9ca3-a78ad8000d0c,sum_of_slowspeed,1,,,,,,
,,2,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:15Z,AssetAttributes,Asset,ConfigData,7f389438-1322-442c-8e9b-99d70bf9cb04,sum_of_downtime,1,,,,,,
,,2,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:16Z,AssetAttributes,Asset,ConfigData,7b3398c0-bbff-41e8-8601-9186e326cb73,motor_cooling_fan_rpm,1,,,,,,
,,2,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:17Z,AssetAttributes,Asset,ConfigData,6bdcfb85-0170-4ff5-b315-1120fd5bb963,speed_m_s,1,,,,,,
,,2,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:18Z,AssetAttributes,Asset,ConfigData,4325dce2-57e0-48af-8ca9-10658b48ae12,dancer_pressure,1,,,,,,
,,2,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:19Z,AssetAttributes,Asset,ConfigData,4e914241-af7a-456a-975a-ba24a23d55d7,wd_kwh,1,,,,,,
,,,,,,,,,,,,,,,,,
#group,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,long,,,,,
#default,_result,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,Table,Tag1,_measurement,asset_id,asset_name,shop_id,synced,,,,,
,,3,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:01Z,AssetConfig,Asset,ConfigData,acd8c410-2cb4-48a7-a032-0f4a2f4a85f6,Wet Draw 1,a56253b0-e7d0-4a0a-a777-0231bdb5152b,1,,,,,
,,3,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:02Z,AssetConfig,Asset,ConfigData,7bae1e8c-dba2-423f-8e74-e63cb40cdc3b,Wet Draw 2,a56253b0-e7d0-4a0a-a777-0231bdb5152b,1,,,,,
,,3,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:03Z,AssetConfig,Asset,ConfigData,da390b8a-29da-40ad-9498-f9dce25902d9,Wet Draw 3,a56253b0-e7d0-4a0a-a777-0231bdb5152b,1,,,,,
,,3,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:04Z,AssetConfig,Asset,ConfigData,b5169fb3-4ae3-4c6e-9d75-b91210ce1851,Wet Draw 4,a56253b0-e7d0-4a0a-a777-0231bdb5152b,1,,,,,
,,3,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:05Z,AssetConfig,Asset,ConfigData,c6080c69-cda4-4889-8e31-56ab01579245,Wet Draw 5,a56253b0-e7d0-4a0a-a777-0231bdb5152b,1,,,,,
,,,,,,,,,,,,,,,,,
#group,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string,long,,
#default,_result,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,Table,Tag1,_measurement,asset_id,ml_attributes,model,model_path,multiplier,pickle_path,synced,,
,,4,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:32:20Z,AssetMLModelConfig,Asset,ConfigData,acd8c410-2cb4-48a7-a032-0f4a2f4a85f6,"[speed_m_s,production_kg,sum_of_downtime,sum_of_runtime,sum_of_slowspeed,dancer_pressure,motor_cooling_fan_rpm,emulsion_brix]",yes,Model2,"[1,2,3]",Model2,0,,
,,4,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:32:21Z,AssetMLModelConfig,Asset,ConfigData,7bae1e8c-dba2-423f-8e74-e63cb40cdc3b,"[speed_m_s,production_kg,sum_of_downtime,sum_of_runtime,sum_of_slowspeed,dancer_pressure,motor_cooling_fan_rpm,emulsion_brix]",yes,Model2,"[1,2,3]",Model2,0,,
,,4,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:32:22Z,AssetMLModelConfig,Asset,ConfigData,da390b8a-29da-40ad-9498-f9dce25902d9,"[speed_m_s,production_kg,sum_of_downtime,sum_of_runtime,sum_of_slowspeed,dancer_pressure,motor_cooling_fan_rpm,emulsion_brix]",yes,Model2,"[1,2,3]",Model2,0,,
,,4,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:32:23Z,AssetMLModelConfig,Asset,ConfigData,b5169fb3-4ae3-4c6e-9d75-b91210ce1851,"[speed_m_s,production_kg,sum_of_downtime,sum_of_runtime,sum_of_slowspeed,dancer_pressure,motor_cooling_fan_rpm,emulsion_brix]",yes,Model2,"[1,2,3]",Model2,0,,
,,4,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:32:24Z,AssetMLModelConfig,Asset,ConfigData,c6080c69-cda4-4889-8e31-56ab01579245,,no,,,,0,,
,,,,,,,,,,,,,,,,,
#group,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,long,double,double,double,double,long,string,long
#default,_result,,,,,,,,,,,,,,,,
